target_class,metric,baseline,candidate,delta_candidate_minus_baseline
command-injection,decision_coverage,0.1,0.4,0.30000000000000004
command-injection,end_to_end_recall,,,
command-injection,observable_positive_recall,,,
command-injection,precision,,,
command-injection,end_to_end_specificity,0.1,0.4,0.30000000000000004
command-injection,false_positive_rate,0.0,0.0,0.0
command-injection,balanced_accuracy,,,
command-injection,strict_accuracy,0.1,0.4,0.30000000000000004
command-injection,f1,,,
heap-buffer-overflow,decision_coverage,0.1,0.3,0.19999999999999998
heap-buffer-overflow,end_to_end_recall,1.0,1.0,0.0
heap-buffer-overflow,observable_positive_recall,1.0,1.0,0.0
heap-buffer-overflow,precision,1.0,1.0,0.0
heap-buffer-overflow,end_to_end_specificity,0.0,0.2222222222222222,0.2222222222222222
heap-buffer-overflow,false_positive_rate,0.0,0.0,0.0
heap-buffer-overflow,balanced_accuracy,0.5,0.6111111111111112,0.11111111111111116
heap-buffer-overflow,strict_accuracy,0.1,0.3,0.19999999999999998
heap-buffer-overflow,f1,1.0,1.0,0.0
integer-overflow,decision_coverage,0.1,0.4,0.30000000000000004
integer-overflow,end_to_end_recall,0.0,0.0,0.0
integer-overflow,observable_positive_recall,0.0,0.0,0.0
integer-overflow,precision,0.0,0.0,0.0
integer-overflow,end_to_end_specificity,0.0,0.2222222222222222,0.2222222222222222
integer-overflow,false_positive_rate,0.1111111111111111,0.2222222222222222,0.1111111111111111
integer-overflow,balanced_accuracy,0.0,0.1111111111111111,0.1111111111111111
integer-overflow,strict_accuracy,0.0,0.2,0.2
integer-overflow,f1,,,
null-pointer-dereference,decision_coverage,0.1,0.4,0.30000000000000004
null-pointer-dereference,end_to_end_recall,0.0,0.0,0.0
null-pointer-dereference,observable_positive_recall,0.0,0.0,0.0
null-pointer-dereference,precision,0.0,0.0,0.0
null-pointer-dereference,end_to_end_specificity,0.0,0.1111111111111111,0.1111111111111111
null-pointer-dereference,false_positive_rate,0.1111111111111111,0.3333333333333333,0.2222222222222222
null-pointer-dereference,balanced_accuracy,0.0,0.05555555555555555,0.05555555555555555
null-pointer-dereference,strict_accuracy,0.0,0.1,0.1
null-pointer-dereference,f1,,,
out-of-bounds-read,decision_coverage,0.1,0.4,0.30000000000000004
out-of-bounds-read,end_to_end_recall,0.0,0.0,0.0
out-of-bounds-read,observable_positive_recall,0.0,0.0,0.0
out-of-bounds-read,precision,0.0,0.0,0.0
out-of-bounds-read,end_to_end_specificity,0.0,0.2222222222222222,0.2222222222222222
out-of-bounds-read,false_positive_rate,0.1111111111111111,0.2222222222222222,0.1111111111111111
out-of-bounds-read,balanced_accuracy,0.0,0.1111111111111111,0.1111111111111111
out-of-bounds-read,strict_accuracy,0.0,0.2,0.2
out-of-bounds-read,f1,,,
use-after-free,decision_coverage,0.3,0.5,0.2
use-after-free,end_to_end_recall,0.0,0.0,0.0
use-after-free,observable_positive_recall,,,
use-after-free,precision,,,
use-after-free,end_to_end_specificity,0.3333333333333333,0.4444444444444444,0.1111111111111111
use-after-free,false_positive_rate,0.0,0.0,0.0
use-after-free,balanced_accuracy,0.16666666666666666,0.2222222222222222,0.05555555555555555
use-after-free,strict_accuracy,0.3,0.4,0.10000000000000003
use-after-free,f1,,,
